"description","from_road","to_road","length_in_meters","delay_in_seconds","Year","Month (number)","Day of month","Hour","Minute","rua_name","dupl_from","dupl_to"
slow traffic,Avenida João Paulo II,Rua Feliciano Ramos (N101) / Rua Cónego Luciano Afonso dos Santos (N101),630,28,2018,9,10,8,0,Avenida João Paulo II,0,0
stationary traffic,Rua da Estrada Nova / Rua da Universidade,Rua Nova de Santa Cruz,420,338,2018,9,10,8,0,Rua Nova de Santa Cruz,0,0
stationary traffic,Rua do Bairro Novo,Rua Nova de Santa Cruz,250,128,2018,9,10,9,0,Rua Nova de Santa Cruz,0,0
queuing traffic,Avenida Central,Rua de Gabriel Pereira Castro,310,139,2018,9,10,16,0,Avenida Central,0,0
slow traffic,Avenida João Paulo II,Rua Feliciano Ramos (N101) / Rua Cónego Luciano Afonso dos Santos (N101),1270,97,2018,9,10,17,0,Avenida João Paulo II,0,0
stationary traffic,São Vítor,Avenida Padre Júlio Fragata,320,266,2018,9,10,17,0,Avenida Padre Júlio Fragata,0,0
stationary traffic,São Vítor,Avenida Padre Júlio Fragata,295,242,2018,9,10,18,0,Avenida Padre Júlio Fragata,0,0
slow traffic,Avenida João Paulo II,Rua Feliciano Ramos (N101) / Rua Cónego Luciano Afonso dos Santos (N101),1060,119,2018,9,10,18,0,Avenida João Paulo II,0,0
stationary traffic,São Vicente,Avenida Padre Júlio Fragata,560,241,2018,9,11,8,0,Avenida Padre Júlio Fragata,0,0
stationary traffic,Rua Costa Gomes,Rua do Caires / Rua Cardoso Avelino,720,192,2018,9,11,9,0,Rua Costa Gomes,0,0
stationary traffic,Avenida Central,Avenida General Norton de Matos / Rua de São Vicente,250,120,2018,9,11,11,0,Avenida Central,0,0
queuing traffic,Avenida Central,Rua de Gabriel Pereira Castro,310,195,2018,9,11,17,0,Avenida Central,0,0
stationary traffic,Avenida da Imaculada Conceição (N14),Avenida da Liberdade,180,140,2018,9,11,17,0,Avenida da Liberdade,0,0
queuing traffic,Avenida da Liberdade,Avenida da Imaculada Conceição (N309) / Avenida João XXI (N309),170,161,2018,9,11,18,0,Avenida da Liberdade,0,0
slow traffic,Avenida João Paulo II,Rua Feliciano Ramos (N101) / Rua Cónego Luciano Afonso dos Santos (N101),1750,162,2018,9,11,18,0,Avenida João Paulo II,0,0
stationary traffic,São Vítor,Avenida Padre Júlio Fragata,320,143,2018,9,11,18,0,Avenida Padre Júlio Fragata,0,0
stationary traffic,Rua da Estrada Nova / Rua da Universidade,Rua Nova de Santa Cruz,420,338,2018,9,12,8,0,Rua Nova de Santa Cruz,0,0
queuing traffic,Rua Costa Gomes,Rua do Caires / Rua Cardoso Avelino,720,149,2018,9,12,8,0,Rua Costa Gomes,0,0
stationary traffic,Avenida 31 de Janeiro / Largo da Senhora-a-Branca,Avenida da Liberdade,260,147,2018,9,12,8,0,Avenida da Liberdade,0,0
stationary traffic,Avenida Padre Júlio Fragata,Largo de Monte de Arcos,200,118,2018,9,12,8,0,Avenida Padre Júlio Fragata,0,0
queuing traffic,Avenida 31 de Janeiro / Largo da Senhora-a-Branca,Avenida da Liberdade,460,204,2018,9,12,9,0,Avenida da Liberdade,0,0
stationary traffic,Avenida Central,Rua de Gabriel Pereira Castro,310,195,2018,9,12,11,0,Avenida Central,0,0
stationary traffic,Avenida da Liberdade,Avenida da Imaculada Conceição (N309) / Avenida João XXI (N309),270,272,2018,9,12,16,0,Avenida da Liberdade,0,0
stationary traffic,São Vítor,Avenida Padre Júlio Fragata,320,170,2018,9,12,17,0,Avenida Padre Júlio Fragata,0,0
slow traffic,Avenida João Paulo II,Rua Feliciano Ramos (N101) / Rua Cónego Luciano Afonso dos Santos (N101),930,47,2018,9,12,17,0,Avenida João Paulo II,0,0
