description,from_road,to_road,length_in_meters,delay_in_seconds,Year,Month (number),Day of month,Hour,Minute,rua_name,dupl_from,dupl_to,new_from,new_to
queuing traffic,N101 (Rua De Santa Margarida),Avenida Central,615,182,2018,11,13,18,0,Avenida Central,0,0,0,0
stationary traffic,Avenida 31 de Janeiro / Largo da Senhora-a-Branca,Avenida da Liberdade,322,396,2018,11,13,18,0,Avenida da Liberdade,0,0,0,0
stationary traffic,Rua 25 De Abril (Avenida 31 De Janeiro),Avenida Central,147,183,2018,11,13,18,0,Avenida Central,0,0,0,0
stationary traffic,Avenida Padre Júlio Fragata,Avenida João Paulo II,205,132,2018,11,13,18,0,Avenida João Paulo II,0,0,0,0
stationary traffic,São Vítor,Avenida Padre Júlio Fragata,334,232,2018,11,13,18,0,Avenida Padre Júlio Fragata,0,0,0,0
stationary traffic,EM590 (N103),Rua Nova de Santa Cruz,266,126,2018,11,13,18,0,Rua Nova de Santa Cruz,0,0,0,0
stationary traffic,Avenida Central,Avenida General Norton De Matos (N101),205,122,2018,11,13,19,0,Avenida Central,0,0,0,0
stationary traffic,Rua De Camoes (Rua De Santa Margarida),Avenida Central,251,149,2018,11,14,16,0,Avenida Central,0,0,0,0
stationary traffic,Avenida Central,Avenida General Norton De Matos (N101),264,150,2018,11,14,17,0,Avenida Central,0,0,0,0
stationary traffic,Avenida 31 de Janeiro / Largo da Senhora-a-Branca,Avenida da Liberdade,381,182,2018,11,14,17,0,Avenida da Liberdade,0,0,0,0
stationary traffic,Avenida Central,Avenida General Norton De Matos (N101),205,175,2018,11,14,18,0,Avenida Central,0,0,0,0
stationary traffic,Avenida 31 de Janeiro / Largo da Senhora-a-Branca,Avenida da Liberdade,498,335,2018,11,14,18,0,Avenida da Liberdade,0,0,0,0
stationary traffic,Avenida Central,N101 (Rua De Santa Margarida),453,154,2018,11,14,18,0,Avenida Central,0,0,0,0
stationary traffic,São Vítor,Avenida Padre Júlio Fragata,440,325,2018,11,14,18,0,Avenida Padre Júlio Fragata,0,0,0,0
stationary traffic,EM590 (N103),Rua Nova de Santa Cruz,266,235,2018,11,14,18,0,Rua Nova de Santa Cruz,0,0,0,0
stationary traffic,Avenida Central,Avenida General Norton De Matos (N101),290,214,2018,11,14,19,0,Avenida Central,0,0,0,0
stationary traffic,Rua De Camoes (Rua De Santa Margarida),Avenida Central,251,200,2018,11,14,19,0,Avenida Central,0,0,0,0
stationary traffic,Avenida Central,Avenida General Norton De Matos (N101),291,259,2018,11,15,9,0,Avenida Central,0,0,0,0
stationary traffic,Avenida 31 de Janeiro / Largo da Senhora-a-Branca,Avenida da Liberdade,264,135,2018,11,15,9,0,Avenida da Liberdade,0,0,0,0
stationary traffic,Avenida Central,N101 (Rua De Santa Margarida),615,481,2018,11,15,9,0,Avenida Central,0,0,0,0
stationary traffic,EM590 (N103),Rua Nova de Santa Cruz,381,546,2018,11,15,9,0,Rua Nova de Santa Cruz,0,0,0,0
queuing traffic,Avenida Central,Avenida General Norton De Matos (N101),291,183,2018,11,15,18,0,Avenida Central,0,0,1,0
stationary traffic,Avenida Central,Rua Do Raio Penha (N101),381,131,2018,11,15,18,0,Avenida Central,1,0,1,0
